"AD1.AX","APPLYDIRCT FPO",0.17,+0.01,N/A
"AQH.AX",N/A,N/A,N/A,N/A
"AQU.AX","AQUAINT FPO",N/A,+0.00,N/A
"AQS.AX","AQUIS FPO",0.07,+0.00,N/A
"ARU.AX","ARAFURA FPO",0.052,-0.001,N/A
"ARB.AX","ARB CORP FPO",16.53,+0.03,N/A
"ARX.AX","ARC EXPLRN FPO",0.540,+0.000,N/A
"AXE.AX","ARCHER EXP FPO",0.058,+0.002,N/A
"ARL.AX","ARDEARES FPO",0.58,-0.03,N/A
"AAD.AX","ARDENT LEI STAPLED",2.06,+0.01,N/A
"ADV.AX","ARDIDEN FPO",0.017,+0.000,N/A
"ARF.AX","ARENA REIT STAPLED",2.12,-0.01,N/A
"ARD.AX","ARGENT MIN FPO",0.028,-0.001,N/A
"AXT.AX","ARGO EXPLO FPO",0.059,+0.000,N/A
"ALI.AX","ARGO GLOBL FPO",1.84,-0.01,N/A
"ARG.AX","ARGO FPO",7.67,-0.08,N/A
"ARE.AX","ARGONAUT FPO",0.009,+0.000,N/A
"AGY.AX","ARGOSY FPO",0.085,+0.003,N/A
"ARA.AX","ARIADNE FPO",0.760,-0.005,N/A
"ALL.AX","ARISTOCRAT FPO",20.03,+0.22,N/A
"AHK.AX","ARK MINES FPO",0.13,-0.03,N/A
"AIK.AX","ARMIDALE FPO",N/A,+0.000,N/A
"AJQ.AX","ARMOUR FPO",0.08,+0.00,N/A
"AWQ.AX","AROWOPPFND FPO",0.92,+0.00,N/A
"AWN.AX","AROWANA FPO",0.52,+0.01,N/A
"ARI.AX","ARRIUM FPO",N/A,+0.000,N/A
"AR1.AX","ARROWHEAD FPO",N/A,+0.000,N/A
"ARV.AX","ARTEMIS FPO",0.083,+0.014,N/A
"AAJ.AX","ARUMA RES FPO",0.01,+0.00,N/A
"AHY.AX","ASALEO FPO",1.61,-0.20,N/A
"AJY.AX","ASAPLUS CDI 1:1",0.12,+0.00,N/A
"AFA.AX","ASF GROUP FPO",0.19,+0.00,N/A
"ASH.AX","ASHLEYSERV FPO",0.08,+0.00,N/A
"AJD.AX","APDCDATA STAPLED",1.65,+0.00,N/A
"DIG.AX","APDIGITAL FPO",0.36,+0.00,N/A
"AJJ.AX","ASIAN AMER FPO",0.12,+0.00,N/A
"ATB.AX",N/A,N/A,N/A,N/A
"AUF.AX","ASIANMAST FPO",1.45,+0.10,N/A
"AM3.AX",N/A,N/A,N/A,N/A
"AKF.AX","ASK FUND FPO",0.06,+0.00,N/A
"APZ.AX","ASPEN STAPLED",1.11,+0.01,N/A
"ASP.AX","ASPERMONT FPO",0.007,-0.001,N/A
"AKM.AX","ASPIRE FPO",0.021,-0.002,N/A
"ASY.AX","ASSEMBLE FPO",N/A,+0.000,N/A
"AO1.AX","ASSETOWL FPO",0.25,+0.00,N/A
"AIR.AX","ASTIVITA FPO",0.079,+0.000,N/A
"AJA.AX","ASTROJAPAN FORUS",6.65,+0.00,N/A
"ARO.AX","ASTRO RES FPO",0.003,+0.000,N/A
"ATR.AX","ASTRON CDI 1:1",0.19,+0.00,N/A
"ASX.AX","ASX FPO",52.00,+0.07,N/A
"ATA.AX","ATC ALLOYS FPO",N/A,+0.000,N/A
"ACG.AX","ATCOR FPO",0.055,-0.001,N/A
"AHN.AX","ATHENA RES FPO",0.027,+0.000,N/A
"AGO.AX","ATLAS IRON FPO",0.014,+0.000,N/A
"ATP.AX","ATLASPEARL FPO",0.028,+0.000,N/A
"ATU.AX","ATRUM COAL FPO",0.25,+0.03,N/A
"AYA.AX","ATTILA RES FPO",N/A,+0.000,N/A
"AUB.AX","AUB GROUP FPO",N/A,+0.24,N/A
"AIA.AX","AUCK AIRPT FPO NZX",6.50,+0.02,N/A
"ACP.AX","AUDALIA FPO",0.022,+0.000,N/A
"AKP.AX","AUDIOPIXEL FPO",16.00,+0.31,N/A
"AUG.AX","AUGEND FPO",N/A,+0.00,N/A
"AUK.AX","AUGUR RES FPO",N/A,+0.000,N/A
"AEE.AX","AURA EN FPO",0.025,-0.001,N/A
"AMI.AX","AURELIA FPO",0.22,-0.01,N/A
"AZJ.AX","AURIZON FPO",5.47,-0.02,N/A
"AOU.AX","AUROCH MIN FPO",0.20,+0.01,N/A
"ABW.AX","AURORA ARF ORD UNIT",0.56,+0.00,N/A
"AOD.AX","AURORADIT MFUNIT",N/A,+0.004,N/A
"AIB.AX","AURORA GLB UNITS",0.70,+0.01,N/A
"A3D.AX","AURORALABS FPO",1.43,+0.05,N/A
"ARM.AX","AURORA MIN FPO",0.050,+0.000,N/A
